S.No,Stock_tick,Average log returns,Standard deviation of log returns,Security,GICS.Sector,GICS.Sub.Industry,Headquarters.Location,Date.first.added,CIK,Founded
7,ABMD,0.006198037,0.032815666,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981
38,AMZN,0.005316935,0.027799795,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994
386,PYPL,0.005238856,0.044647794,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/2015,1633917,1998
148,DXCM,0.005090723,0.045177199,DexCom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1093557,1999
150,EBAY,0.004874057,0.026185124,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995
486,WST,0.004479544,0.033452857,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/2020,105770,
345,NVDA,0.004436528,0.048433773,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",11/30/2001,1045810,
308,MKTX,0.00430782,0.040161502,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",7/1/2019,1278021,2000
99,CMG,0.004245685,0.044461762,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1058090,
83,CDNS,0.00413482,0.039882413,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,
442,TSCO,0.00404215,0.034054171,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,916365,
193,FTNT,0.003862152,0.047099664,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,1262039,2000
119,CTXS,0.003709327,0.031516686,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,877890,
414,SNPS,0.003703054,0.035781196,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",3/16/2017,883241,
239,INCY,0.003358075,0.030905419,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,879169,
95,CLX,0.003233655,0.024659276,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,1913
332,NFLX,0.003164036,0.03357513,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,1065280,1997
238,ILMN,0.003149668,0.035381307,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1110803,
235,IDXX,0.003001036,0.033992689,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,874716,
